,en_a_01,en_a_11,en_a_12,a_01_det,a_11_det,a_12_det,multiple_det,a01_vel,a11_vel,a12_vel
10593,4.4076996028782895,0.3243025704514842,4.445997826670226,,5.0,6.0,True,[1.57241977 0.98050378 1.83799032],[-1.30043824  1.36726521 -1.80320444],[-1.21441178 -1.34554098  1.87798389]
10676,4.433182420777232,0.5377697907213891,4.20704778850138,0.0,0.0,,True,[1.21151763 1.21576022 1.96627875],[1.23969979 1.43943109 1.78977165],[-1.68687863 -1.76264319  0.92716205]
10694,4.418020587604226,1.7494360562643227,3.010543356131451,7.0,0.0,,True,[-1.35668728  1.18290374  1.89003661],[1.16300417 1.3709408  1.89210006],[ 0.7569461  -2.47805211  0.31367237]
10734,3.722871993244344,4.746145735920848,0.7089822708348077,5.0,,7.0,True,[-1.12625962  1.36643981 -1.91741532],[ 1.44915049 -1.69159481  1.36035652],[-1.16860652  1.24551664  1.9736127 ]
10769,3.725899044727349,3.5149898580813526,1.9371110971912993,5.0,,6.0,True,[-1.35375846  1.17132012 -1.89932809],[ 2.34431459 -0.14178384  1.13850185],[-1.28041874 -1.43348779  1.76571249]
10775,4.386156383463548,3.141876330373465,1.6499672861629873,7.0,,0.0,True,[-1.39536204  1.36957555  1.72896721],[ 0.72217847 -2.50471871  0.13016305],[1.2784965  1.22332653 1.91859816]
10884,3.6171423253526966,3.5770913350119695,1.9837663396353342,,7.0,1.0,True,[ 0.27330457 -0.43581311 -2.55880276],[-1.32674311  1.41123521  1.74936214],[ 1.41253587 -1.3065551   1.76345008]
10984,4.402961377964882,0.8168281108575423,3.9582105111775765,6.0,2.0,,True,[-1.24838541 -1.40101126  1.81405659],[ 1.2582573   1.22379766 -1.93163347],[0.74506309 0.92168941 2.32539666]
11017,3.7138921254850104,5.191158546592417,0.2729493279225732,5.0,1.0,,True,[-1.25578679  1.16173424 -1.97116034],[ 1.32836808 -1.40955308  1.74948516],[-1.11718774  1.82144215  1.49877952]
11159,4.4235308089053875,4.522957131645023,0.23151205944958964,0.0,,1.0,True,[1.29230152 1.21004017 1.91777464],[-1.86512783 -1.16040544  1.40955929],[ 1.22336111 -1.44463514  1.79680743]
11190,3.642618403191512,4.340903688495192,1.1944779083132957,,1.0,7.0,True,[-0.69917478  0.74241175 -2.40251523],[ 1.32244893 -1.43757581  1.73107037],[-1.30007519  1.44404197  1.74259786]
11232,4.416847602392906,3.048826903086544,1.712325494520551,6.0,,7.0,True,[-1.19700517 -1.35253175  1.88412752],[2.49929653 0.59985637 0.45363992],[-1.41249514  1.37182882  1.71319678]
11387,6.406770482099671,1.0650921248329344,1.7061373930673949,0.0,,6.0,True,[1.394724   1.39814983 1.70646477],[-1.71086036 -1.62985416  1.10843685],[-1.35095391 -1.42159621  1.72223336]
11467,4.395343540635391,0.26249350726948006,4.52016295209513,0.0,5.0,,True,[1.25825691 1.44097281 1.77552441],[-1.42558534  1.19950287 -1.82784006],[-0.89722406 -1.7099951   1.75584901]
11502,3.7222333266942673,0.16377127443381834,5.291995398871915,3.0,,7.0,True,[ 1.16214053 -1.33056063 -1.9212334 ],[ 2.04166535 -1.16234489  1.13695072],[-1.3338193   1.3203806   1.81373128]
11574,4.410338338754733,4.577855405063047,0.18980625618222025,0.0,6.0,,True,[1.29728765 1.30453162 1.85130819],[-1.16412241 -1.36159661  1.89815007],[-2.16948844 -1.24371765 -0.74738633]
